ID,Degree,Betweenness,Closeness,Alpha_Centrality,Eigen_centrality,KNN (Average nearest neighbor degree),Harmonic_centrality,Kleinberg's hub centrality,Strength (Summing up the edge weights of the adjacent edges for each vertex)
"Apoll",1.38062284,0.7545634,1.12117291,0.98223002,1.25948395,1.07030332,1.12831251,1.46724995,1.38062284
"ArrToo",1.24913495,0.81603768,1.08113102,-1.91869876,1.17633738,1.02295199,1.08918028,1.2799194,1.24913495
"AtkaMack",1.51211073,1.31984927,1.16429494,8.04593044,1.29419141,1.02208235,1.16744473,1.54922985,1.51211073
"BalWhale",0.92041522,0.43485862,0.96100535,-9.60185028,0.98722328,1.01213466,0.98156666,0.90146652,0.92041522
"BenthInv",1.57785467,2.39295489,1.16429494,8.41596022,1.26098989,0.90710792,1.18048881,1.47076078,1.57785467
"Bird",0.78892734,0.30817914,0.93143596,4.68723645,0.92718931,1.05866959,0.94243444,0.79516208,0.78892734
"Cephalo",1.97231834,3.60017162,1.34540749,0.97196631,1.38367309,0.8849392,1.30440752,1.77086648,1.97231834
"DeepL",0.72318339,0.14926477,0.9036319,-1.09419415,0.92313092,1.09075049,0.91634629,0.78821633,0.72318339
"DemSM",1.64359862,1.87054501,1.21086674,-2.63711974,1.3228273,0.97723347,1.20657696,1.61854631,1.64359862
"EpiCarn",1.183391,0.80434038,1.06216381,-5.75208272,1.16331882,1.06168574,1.06961417,1.25174637,1.183391
"FlatFish",1.24913495,0.67235626,1.08113102,8.63868889,1.19740573,1.06867052,1.08918028,1.32617701,1.24913495
"Halib",1.05190311,0.30848375,0.97650544,11.28430218,1.11728671,1.08242179,1.01417685,1.15464398,1.05190311
"Herr",0.65743945,0.32547483,0.91732329,19.05318067,0.80818011,0.95008809,0.90656323,0.6041366,0.65743945
"Jpoll",1.24913495,0.62087565,1.08113102,-11.4245528,1.18778743,1.03723903,1.08918028,1.30495723,1.24913495
"Lpela",0.39446367,0.09863384,0.85272306,25.45468233,0.6492606,1.08581496,0.82503776,0.38990332,0.39446367
"Lpred",1.05190311,0.25479734,1.02615826,-3.34878254,1.13244609,1.13331937,1.03048194,1.18618903,1.05190311
"Lzoopl",1.70934256,3.78280272,1.18712426,-6.76693268,1.28499338,0.88535682,1.21636002,1.52728683,1.70934256
"Macroph",0.46020761,0.12504149,0.84087968,-12.57315386,0.69579928,1.01601257,0.8315598,0.44780277,0.46020761
"Mycto",1.51211073,1.47971595,1.16429494,-3.12943434,1.27655197,0.99375674,1.16744473,1.50728658,1.51211073
"Otter",0.32871972,0.02997746,0.8181532,17.11910863,0.62723128,1.11838941,0.79242757,0.36389346,0.32871972
"PacCod",1.64359862,1.60930173,1.21086674,-1.72677344,1.31978586,0.97289021,1.20657696,1.61111214,1.64359862
"Phyto",0.13148789,0,0.70399229,-7.31658657,0.38888969,1.19439646,0.68285734,0.13988517,0.13148789
"POP",0.5916955,0.07037781,0.89034319,-13.8712147,0.85168228,1.17026724,0.8837361,0.67092513,0.5916955
"RockFish",1.05190311,0.5054602,1.02615826,-11.67783283,1.08733547,1.06545593,1.03048194,1.09356837,1.05190311
"SabFish",0.52595156,0.05741089,0.9036319,13.50808851,0.82597714,1.24868721,0.87395304,0.63103709,0.52595156
"Sal",0.78892734,0.70004506,0.94598964,1.93093429,0.86958449,0.92294272,0.94569546,0.69942702,0.78892734
"Sandl",0.85467128,0.71045672,0.97650544,13.92352971,0.93328176,0.95635241,0.97178361,0.80564625,0.85467128
"ShaMeater",0.78892734,0.44790271,0.94598964,4.3301617,0.90333256,0.95461232,0.94569546,0.75476918,0.78892734
"ShaSkate",1.70934256,1.83795209,1.23557831,9.4187987,1.33974444,0.96679294,1.22614307,1.66020898,1.70934256
"Shri",1.183391,0.3966134,1.06216381,-18.63084161,1.18422395,1.08883112,1.06961417,1.29713898,1.183391
"Smamm",1.183391,3.02629709,1.06216381,-1.29342472,1.1086133,0.9621527,1.06961417,1.13678675,1.183391
"Spela",0.72318339,0.32082245,0.94598964,-24.05691804,0.89093517,1.05126631,0.93265138,0.73419435,0.72318339
"SSLad",0.98615917,1.64371537,1.00905562,10.32050565,1.05810244,1.05324051,1.01091583,1.03555761,0.98615917
"SSLjuv",0.98615917,1.68203111,1.00905562,0.72713764,1.05668893,1.04962113,1.01091583,1.03279267,0.98615917
"SSLpup",0.06574394,0,0.50876754,2.27162174,0.10131402,0.21716299,0.48719621,0.00949419,0.06574394
"Szoopl",1.183391,1.78581837,1.02615826,4.3274554,1.06378571,0.88071658,1.05983111,1.04671184,1.183391
"ToothWhale",0.72318339,0.21113644,0.91732329,2.26014326,0.90681674,1.10062153,0.92286832,0.76060274,0.72318339
"TranOrc",0.26297578,2.8457345,0.7294378,7.14873103,0.43459813,0.66506167,0.72068516,0.17470065,0.26297578
